File ID,104,160,256,104 N,160 N,256 N
#0018,0.114392690360546,0.109057404100895,0.119140513241291,0.187235355377197,0.172427907586098,0.200510859489441
#0022,0.123366966843605,0.114992618560791,0.1240498945117,0.176178678870201,0.169548168778419,0.190533801913261
#0023,0.102373480796814,0.098859965801239,0.111157037317753,0.181562021374702,0.166123673319817,0.188664421439171
#0024,0.115289628505707,0.12701778113842,0.117252103984356,0.15914024412632,0.162436291575432,0.166641503572464
#0025,0.11381171643734,0.104063883423805,0.109836928546429,0.189495861530304,0.1684550344944,0.191154628992081
#0027,0.117309637367725,0.110722452402115,0.103110186755657,0.175763949751854,0.159086868166924,0.165864765644073
#0030,0.101308532059193,0.115341134369373,0.109524622559547,0.166792079806328,0.164447739720345,0.172022208571434
#0034,0.127530723810196,0.10725112259388,0.106767505407333,0.188471853733063,0.167839020490646,0.178529143333435
#0037,0.102143354713917,0.101730294525623,0.11040998250246,0.184175565838814,0.165787115693092,0.193768545985222
#0038,0.11040785163641,0.107897199690342,0.119055181741714,0.177175670862198,0.167799219489098,0.196583211421967
#0039,0.110689841210842,0.107884131371975,0.117898426949978,0.185738623142242,0.170161530375481,0.194486781954765
#0040,0.10830070078373,0.105779409408569,0.107721455395222,0.172931507229805,0.160297006368637,0.17354841530323
#0041,0.108846686780453,0.0996980518102646,0.110404416918755,0.186558589339256,0.165954351425171,0.190140381455421
#0042,0.104136392474174,0.102005191147327,0.110456012189388,0.169519513845444,0.166738986968994,0.187390714883804
#0043,0.106804437935352,0.104416139423847,0.113294959068298,0.172333046793938,0.16328476369381,0.190043359994888
#0044,0.110576838254929,0.122305132448673,0.114273868501186,0.158794984221458,0.152909800410271,0.151844412088394
#0055,0.117663994431496,0.098792664706707,0.119806155562401,0.20195209980011,0.181641936302185,0.222869411110878
